PH	5070	90150
L30	2780	85080
L29	2780	82300
L28	2780	79520
L27	2780	76740
L26	2780	73960
L25	2780	71180
L24	2780	68400
L23	2780	65620
L22	2780	62840
L21	2780	60060
L20	2780	57280
L19	2780	54500
L18	2780	51720
L17	2780	48940
L16	2780	46160
L15	2780	43380
L14	2780	40600
L13	2780	37820
L12	2780	35040
L11	2780	32260
L10	2780	29480
L9	2780	26700
L8	2780	23920
L7	2780	21140
L6	2780	18360
L5	2780	15580
L4	2780	12800
L3	2780	10020
L2	2780	7240
L1	4460	4460
P1	4520	0
P2	3000	-4520
Base	0	-7520
